epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,175.525,0.899,1.5437,1.95465,0.89083,0,0.51128,0.34884,0.51183,0.39855,0.50453,0.3446,0.49683,0.3413,0.66558,1.16147,2.04243,0.86429,0,0.000548355,0.000548355,0.000548355
2,345.84,0.75989,1.12355,1.22721,0.85804,0,0.52591,0.88628,0.61108,0.50429,0.52091,0.88169,0.60426,0.44782,0.63252,0.89517,1.32884,0.85212,0,0.00109491,0.00109491,0.00109491
3,516.341,0.70804,1.00169,1.08334,0.85274,0,0.65265,0.76647,0.74058,0.60336,0.65083,0.76132,0.73623,0.53728,0.67213,0.94168,1.18727,0.85319,0,0.0016323,0.0016323,0.0016323
4,688.788,0.70645,1.00559,0.9585,0.8558,0,0.83052,0.82474,0.91607,0.77275,0.82514,0.82675,0.91266,0.69181,0.60851,0.81596,0.83078,0.8456,0,0.00162574,0.00162574,0.00162574
5,853.67,0.67295,0.94778,0.81123,0.84836,0,0.86555,0.84808,0.9438,0.80107,0.8668,0.84929,0.94063,0.70088,0.59426,0.81235,0.74571,0.84163,0,0.00161199,0.00161199,0.00161199
6,1019.55,0.64556,0.91316,0.74512,0.84058,0,0.87347,0.86334,0.95484,0.83783,0.87223,0.86213,0.9535,0.75337,0.5127,0.7325,0.65372,0.82586,0,0.00159824,0.00159824,0.00159824
7,1184.71,0.65142,0.86888,0.6842,0.84196,0,0.89756,0.88289,0.96377,0.84144,0.90604,0.86599,0.95906,0.73223,0.53899,0.80767,0.65083,0.83159,0,0.00158448,0.00158448,0.00158448
8,1351.33,0.63884,0.86626,0.6413,0.83612,0,0.92126,0.89821,0.96855,0.86278,0.91938,0.89641,0.96781,0.75474,0.49793,0.71532,0.58038,0.82382,0,0.00157073,0.00157073,0.00157073
9,1517.47,0.59144,0.82196,0.60046,0.83094,0,0.93788,0.90329,0.97498,0.8526,0.93308,0.90519,0.97285,0.75377,0.52094,0.64993,0.55321,0.82743,0,0.00155698,0.00155698,0.00155698
10,1683.26,0.58384,0.79841,0.58011,0.82932,0,0.92097,0.90318,0.97192,0.85308,0.92328,0.9014,0.97102,0.75188,0.51375,0.70204,0.53153,0.82408,0,0.00154323,0.00154323,0.00154323
11,1849.34,0.5436,0.73591,0.54538,0.82508,0,0.92881,0.91273,0.97566,0.87195,0.92853,0.9134,0.97463,0.75415,0.46831,0.6183,0.48896,0.81903,0,0.00152947,0.00152947,0.00152947
12,2013.28,0.5453,0.73935,0.53967,0.82538,0,0.92944,0.89618,0.97351,0.87329,0.94131,0.88318,0.97083,0.77038,0.46856,0.62162,0.50125,0.81873,0,0.00151572,0.00151572,0.00151572
13,2177.8,0.53784,0.73389,0.53821,0.82196,0,0.9404,0.9061,0.97615,0.86306,0.94038,0.90782,0.97555,0.77286,0.50494,0.61929,0.50514,0.82292,0,0.00150197,0.00150197,0.00150197
14,2339.23,0.54429,0.70739,0.53693,0.82089,0,0.92997,0.90363,0.97692,0.86594,0.92925,0.9021,0.97541,0.74923,0.48417,0.59808,0.47857,0.82147,0,0.00148821,0.00148821,0.00148821
15,2505.81,0.5175,0.68572,0.50862,0.81865,0,0.94493,0.92746,0.98262,0.88049,0.94782,0.92401,0.98132,0.77637,0.4654,0.57286,0.44848,0.81674,0,0.00147446,0.00147446,0.00147446
16,2670.62,0.5123,0.67098,0.48838,0.81797,0,0.94507,0.9183,0.98025,0.88313,0.94507,0.9183,0.97801,0.77552,0.45127,0.60135,0.43097,0.81303,0,0.00146071,0.00146071,0.00146071
17,2835.11,0.53244,0.70327,0.48679,0.82047,0,0.92885,0.91468,0.97745,0.88211,0.92749,0.9135,0.97637,0.77204,0.45722,0.5762,0.44383,0.81827,0,0.00144696,0.00144696,0.00144696
18,2998.94,0.49875,0.67039,0.47124,0.81665,0,0.95005,0.92272,0.98084,0.87907,0.94941,0.9221,0.98027,0.78409,0.46096,0.57783,0.43184,0.81535,0,0.0014332,0.0014332,0.0014332
19,3155.58,0.51494,0.66376,0.47093,0.8156,0,0.95532,0.90514,0.98031,0.8919,0.94804,0.91386,0.98045,0.78639,0.44708,0.57629,0.43475,0.81366,0,0.00141945,0.00141945,0.00141945
20,3313.68,0.49288,0.65056,0.45884,0.81443,0,0.93574,0.92065,0.9827,0.88968,0.95156,0.90691,0.98203,0.7781,0.44618,0.60398,0.42069,0.81309,0,0.0014057,0.0014057,0.0014057
21,3470.98,0.49722,0.65406,0.46251,0.81614,0,0.9452,0.91127,0.9797,0.88994,0.94717,0.9119,0.97887,0.77548,0.44394,0.5595,0.42879,0.81346,0,0.00139195,0.00139195,0.00139195
22,3627.78,0.47878,0.6232,0.45248,0.81295,0,0.94296,0.91774,0.98166,0.89324,0.94238,0.91753,0.98062,0.78668,0.43682,0.5464,0.40847,0.81254,0,0.00137819,0.00137819,0.00137819
23,3786.68,0.49468,0.64024,0.4462,0.8125,0,0.9406,0.9376,0.98306,0.90006,0.93964,0.94006,0.9828,0.78102,0.42913,0.54577,0.403,0.81193,0,0.00136444,0.00136444,0.00136444
24,3945.04,0.48408,0.62483,0.43948,0.81233,0,0.92199,0.91034,0.98061,0.88964,0.92394,0.90959,0.98016,0.81364,0.45966,0.57164,0.44379,0.81595,0,0.00135069,0.00135069,0.00135069
25,4103.89,0.49528,0.62695,0.43766,0.81554,0,0.95695,0.9308,0.98459,0.90759,0.9559,0.93399,0.98365,0.815,0.41114,0.53325,0.37009,0.80804,0,0.00133693,0.00133693,0.00133693
26,4262.85,0.4781,0.64525,0.4199,0.81039,0,0.94748,0.92162,0.98412,0.89559,0.94919,0.92344,0.98426,0.81236,0.43609,0.52736,0.38814,0.8097,0,0.00132318,0.00132318,0.00132318
27,4424.71,0.4785,0.62157,0.41191,0.81203,0,0.95715,0.93306,0.98468,0.89804,0.95244,0.9341,0.98391,0.78977,0.43041,0.54821,0.38478,0.81117,0,0.00130943,0.00130943,0.00130943
28,4599.98,0.47478,0.60596,0.41392,0.80866,0,0.96048,0.92419,0.9844,0.89788,0.96136,0.92542,0.98308,0.79425,0.44363,0.55792,0.38169,0.81306,0,0.00129568,0.00129568,0.00129568
29,4792.52,0.4625,0.59855,0.4055,0.81085,0,0.95586,0.91631,0.98539,0.91079,0.95448,0.91584,0.98453,0.82238,0.41236,0.52877,0.38247,0.8083,0,0.00128192,0.00128192,0.00128192
30,4998.5,0.45821,0.59613,0.40033,0.80601,0,0.95562,0.92064,0.98361,0.9103,0.95616,0.92128,0.98298,0.83068,0.40766,0.55351,0.36918,0.80649,0,0.00126817,0.00126817,0.00126817
31,5181.46,0.45148,0.59486,0.39768,0.80963,0,0.94698,0.93596,0.9846,0.90783,0.95311,0.93131,0.9837,0.8063,0.40966,0.5271,0.36537,0.80672,0,0.00125442,0.00125442,0.00125442
