epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,217.506,1.13697,1.95915,1.53333,0.91272,0,0.98086,0.6908,0.93367,0.70432,0.97287,0.68517,0.90537,0.54346,0.85605,1.39407,1.74413,0.86574,0,0.000654088,0.000654088,0.000654088
2,404.244,0.9875,1.47214,0.74368,0.87446,0,0.95075,0.86781,0.95233,0.71581,0.94696,0.85294,0.93305,0.5637,0.88146,1.18011,1.02356,0.86036,0,0.00130768,0.00130768,0.00130768
3,563.759,0.92749,1.39157,0.67258,0.86324,0,0.94941,0.88961,0.95531,0.71901,0.94688,0.87309,0.93551,0.59612,0.84165,1.13247,0.7945,0.85625,0,0.00194807,0.00194807,0.00194807
4,729.752,0.84681,1.31405,0.61593,0.85244,0,0.95701,0.90463,0.96295,0.76468,0.9593,0.89429,0.95177,0.62022,0.72737,1.10441,0.69963,0.83666,0,0.0019406,0.0019406,0.0019406
5,907.491,0.80884,1.22735,0.58248,0.84375,0,0.95889,0.9142,0.96573,0.76853,0.95474,0.90497,0.9542,0.60739,0.69973,0.99898,0.60833,0.83402,0,0.0019208,0.0019208,0.0019208
6,1084.41,0.80623,1.18769,0.57767,0.84492,0,0.96092,0.91909,0.97289,0.7708,0.9537,0.91003,0.95491,0.60249,0.69605,1.01609,0.59109,0.8347,0,0.001901,0.001901,0.001901
7,1259.81,0.79031,1.17028,0.54973,0.83754,0,0.95558,0.91803,0.97322,0.7868,0.95777,0.91158,0.96493,0.67453,0.67225,0.92495,0.5665,0.83022,0,0.0018812,0.0018812,0.0018812
8,1418.73,0.79413,1.16401,0.54448,0.83911,0,0.96613,0.92287,0.97524,0.7994,0.96364,0.91859,0.96681,0.66241,0.63467,0.88397,0.53157,0.8231,0,0.0018614,0.0018614,0.0018614
