epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,229.719,0.49444,0.37266,0.87311,0.80997,0,0.00333,1,0.15482,0.13739,0.00659,1,0.20704,0.15124,0.45629,0.24331,3.1101,0.82575,0,0.000841222,0.000841222,0.000841222
31,238.995,0.61115,0.40668,0.92277,0.83159,0,0.00333,1,0.15482,0.13739,0.00659,1,0.20704,0.15124,0.45629,0.24331,3.1101,0.82575,0,0.00085766,0.00085766,0.00085766
32,247.145,0.54017,0.38874,1.09421,0.86406,0,0.00333,1,0.95611,0.84439,0.00333,1,0.95611,0.84353,0.47782,0.33697,3.00679,0.82351,0,0.000873306,0.000873306,0.000873306
33,255.74,0.46617,0.35839,0.91262,0.82615,0,0.00333,1,0.995,0.92374,0.00333,1,0.995,0.87977,0.40246,0.32655,2.91462,0.8123,0,0.00088816,0.00088816,0.00088816
34,262.801,0.50488,0.31953,0.85783,0.84,0,0.00333,1,0.995,0.92374,0.00333,1,0.995,0.87977,0.40246,0.32655,2.91462,0.8123,0,0.000902222,0.000902222,0.000902222
35,269.987,0.46436,0.32341,1.07212,0.77297,0,0.00333,1,0.995,0.90184,0.00333,1,0.995,0.87663,0.40301,0.2249,2.85667,0.81036,0,0.000915492,0.000915492,0.000915492
36,277.96,0.56155,0.32635,1.067,0.85636,0,0.97391,1,0.995,0.87394,0.97391,1,0.995,0.85457,0.50809,0.21775,2.68999,0.82129,0,0.00092797,0.00092797,0.00092797
37,284.838,0.4926,0.33856,1.05152,0.80374,0,0.97391,1,0.995,0.87394,0.97391,1,0.995,0.85457,0.50809,0.21775,2.68999,0.82129,0,0.000939656,0.000939656,0.000939656
38,291.724,0.57213,0.50644,0.90552,0.83337,0,1,0.90425,0.995,0.85001,1,0.90425,0.995,0.8565,0.60494,0.24022,2.54499,0.8334,0,0.00095055,0.00095055,0.00095055
39,299.438,0.5574,0.33398,0.89568,0.8355,0,0.99765,1,0.995,0.87771,0.99765,1,0.995,0.87404,0.53285,0.30127,2.37994,0.82205,0,0.000960652,0.000960652,0.000960652
40,307.099,0.57082,0.35272,0.83806,0.80678,0,0.99765,1,0.995,0.87771,0.99765,1,0.995,0.87404,0.53285,0.30127,2.37994,0.82205,0,0.000969962,0.000969962,0.000969962
